make,model,variant,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats,age,best_resale,seats_cat
Maruti,Swift Dzire,VDI,4.5,140000 - 150000 Km,Diesel,Individual,Manual,1st owner,23.4,1.25,74.0,5.0,8.0,yes,5andBelow
Skoda,Rapid,1.5 TDI AMBITION,3.7,110000 - 120000 Km,Diesel,Individual,Manual,2nd owner,21.14,1.5,103.52,5.0,8.0,No,5andBelow
Honda,City,2017-2020 EXI,1.58,130000 - 140000 Km,Petrol,Individual,Manual,3rd owner,17.7,1.5,78.0,5.0,16.0,yes,5andBelow
Hyundai,i20,SPORTZ DIESEL,2.25,120000 - 130000 Km,Diesel,Individual,Manual,1st owner,23.0,1.4,90.0,5.0,12.0,yes,5andBelow
Maruti,Swift,VXI BSIII,1.3,110000 - 120000 Km,Petrol,Individual,Manual,1st owner,16.1,1.3,88.2,5.0,15.0,yes,5andBelow
Hyundai,Xcent,1.2 VTVT E PLUS,4.4,40000 - 50000 Km,Petrol,Individual,Manual,1st owner,20.14,1.2,81.86,5.0,5.0,yes,5andBelow
Maruti,Wagon,R LXI DUO BSIII,0.96,170000 - 180000 Km,Petrol + AltFuel,Individual,Manual,1st owner,25.2,1.06,57.5,5.0,15.0,yes,5andBelow
Maruti,800,DX BSII,0.45,0 - 10000 Km,Petrol,Individual,Manual,2nd owner,16.1,0.8,37.0,4.0,21.0,yes,5andBelow
Toyota,Etios,VXD,3.5,80000 - 90000 Km,Diesel,Individual,Manual,1st owner,23.59,1.36,67.1,5.0,11.0,yes,5andBelow
Ford,Figo,DIESEL CELEBRATION EDITION,2.0,160000 - 170000 Km,Diesel,Individual,Manual,1st owner,20.0,1.4,68.1,5.0,9.0,No,5andBelow
Renault,Duster,110PS DIESEL RXL,5.0,60000 - 70000 Km,Diesel,Individual,Manual,2nd owner,19.01,1.46,108.45,5.0,8.0,No,5andBelow
Maruti,Zen,LX,0.92,90000 - 100000 Km,Petrol,Individual,Manual,2nd owner,17.3,0.99,60.0,5.0,17.0,yes,5andBelow
Maruti,Swift Dzire,VDI,2.8,130000 - 140000 Km,Diesel,Individual,Manual,2nd owner,19.3,1.25,73.9,5.0,13.0,yes,5andBelow
Maruti,Swift,1.3 VXI,2.0,70000 - 80000 Km,Petrol,Individual,Manual,2nd owner,18.6,1.2,81.8,5.0,15.0,yes,5andBelow
Maruti,Wagon,R LXI MINOR,1.8,80000 - 90000 Km,Petrol,Individual,Manual,2nd owner,18.9,1.06,67.0,5.0,13.0,yes,5andBelow
Mahindra,KUV,100 MFALCON G80 K8 5STR,4.0,30000 - 40000 Km,Petrol,Individual,Manual,1st owner,18.15,1.2,82.0,5.0,6.0,yes,5andBelow
Maruti,Ertiga,SHVS VDI,7.78,60000 - 70000 Km,Diesel,Individual,Manual,2nd owner,24.52,1.25,88.5,7.0,6.0,yes,btwn6and8
Hyundai,i20,1.4 CRDI ASTA,5.0,50000 - 60000 Km,Diesel,Individual,Manual,2nd owner,23.0,1.4,90.0,5.0,10.0,yes,5andBelow
Maruti,Alto,LX,1.5,70000 - 80000 Km,Petrol,Individual,Manual,2nd owner,19.7,0.8,46.3,5.0,20.0,yes,5andBelow
Hyundai,i20,2015-2017 ASTA 1.4 CRDI,6.8,90000 - 100000 Km,Diesel,Individual,Manual,1st owner,22.54,1.4,88.73,5.0,6.0,yes,5andBelow
Mahindra,Verito,1.5 D4 BSIII,1.74,90000 - 100000 Km,Diesel,Individual,Manual,2nd owner,21.0,1.46,64.1,5.0,11.0,yes,5andBelow
Honda,WR-V,I-DTEC VX,9.5,40000 - 50000 Km,Diesel,Individual,Manual,1st owner,25.2,1.5,98.6,5.0,5.0,yes,5andBelow
Maruti,Swift Dzire,ZDI,5.25,30000 - 40000 Km,Diesel,Individual,Manual,1st owner,25.2,1.25,74.0,5.0,7.0,yes,5andBelow
Maruti,SX4,ZDI,6.0,70000 - 80000 Km,Diesel,Individual,Manual,1st owner,21.5,1.25,88.8,5.0,10.0,yes,5andBelow
Tata,Tigor,2017-2020 XZ,5.0,30000 - 40000 Km,Petrol,Individual,Manual,1st owner,20.3,1.2,83.81,5.0,4.0,yes,5andBelow
Maruti,Baleno,DELTA 1.2,5.75,40000 - 50000 Km,Petrol,Individual,Manual,1st owner,21.4,1.2,83.1,5.0,6.0,yes,5andBelow
Maruti,Alto,800 LXI,2.75,20000 - 30000 Km,Petrol,Individual,Manual,1st owner,24.7,0.8,47.3,5.0,5.0,yes,5andBelow
Chevrolet,Enjoy,TCDI LTZ 7 SEATER,3.0,60000 - 70000 Km,Diesel,Individual,Manual,1st owner,18.2,1.25,73.8,7.0,9.0,No,btwn6and8
Maruti,Wagon,R LXI MINOR,2.2,110000 - 120000 Km,Petrol,Individual,Manual,1st owner,18.9,1.06,67.0,5.0,13.0,yes,5andBelow
Maruti,Omni,E MPI STD BS IV,2.55,20000 - 30000 Km,Petrol,Individual,Manual,1st owner,16.8,0.8,34.2,8.0,4.0,yes,btwn6and8
Maruti,Vitara,BREZZA LDI OPTION,6.7,60000 - 70000 Km,Diesel,Individual,Manual,1st owner,24.3,1.25,88.5,5.0,5.0,yes,5andBelow
Maruti,Omni,8 SEATER BSIV,1.5,30000 - 40000 Km,Petrol,Individual,Manual,2nd owner,14.0,0.8,35.0,5.0,10.0,yes,5andBelow
Hyundai,i20,1.2 ASTA DUAL TONE,7.3,0 - 10000 Km,Petrol,Individual,Manual,1st owner,18.6,1.2,81.83,5.0,4.0,yes,5andBelow
Maruti,Vitara,BREZZA LDI,6.5,10000 - 20000 Km,Diesel,Individual,Manual,1st owner,24.3,1.25,88.5,5.0,5.0,yes,5andBelow
Maruti,Alto,800 CNG LXI OPTIONAL,3.3,0 - 10000 Km,Petrol + AltFuel,Individual,Manual,2nd owner,25.2,0.8,40.3,4.0,3.0,yes,5andBelow
Maruti,Alto,K10 VXI AIRBAG,3.66,10000 - 20000 Km,Petrol,Individual,Manual,1st owner,23.95,1.0,67.1,5.0,3.0,yes,5andBelow
Hyundai,Verna,VTVT 1.6 SX OPTION,11.49,0 - 10000 Km,Petrol,Individual,Manual,1st owner,17.0,1.59,121.3,5.0,3.0,yes,5andBelow
Datsun,GO,D,1.5,40000 - 50000 Km,Petrol,Individual,Manual,1st owner,20.63,1.2,67.0,5.0,6.0,No,5andBelow
Tata,Safari,DICOR 2.2 LX 4X2,4.25,50000 - 60000 Km,Diesel,Individual,Manual,2nd owner,13.93,2.18,138.03,7.0,11.0,yes,btwn6and8
Maruti,800,STD,1.5,70000 - 80000 Km,Petrol,Individual,Manual,1st owner,16.1,0.8,37.0,4.0,10.0,yes,5andBelow
